,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,Sirius,8.6,2.1,1.71,196.971799550325
2,Alpha Centauri,4.4,1.1,1.2,209.51116500384123
3,Altair,17.0,1.8,1.8,152.37175636642996
4,Fomalhaut,25.0,1.9,1.8,160.8368539423427
5,Tau Ceti,11.9,0.783,0.893,269.29967110479345
6,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
7,Titawin,44.25,1.27,1.48,159.02202111653529
8,54 Piscium,36.1,0.76,0.94,235.9037604224493
9,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
10,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335919,176.041046716483
11,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335919,264.0615700747245
12,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383444831
13,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
14,2MASS J05012406-0010452 [de],64.0,0.020046348,0.14181294,273.38867657214803
15,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,349.1718362013974
16,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489583,336.7014134799189
17,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,298.80704526170723
18,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992
19,2MASSW J2244316+204343,56.0,0.011455056,0.13256427,178.78094402431122
20,2MASS J23224684-3133231,56.0,0.022910112,0.14284057,307.9647729940028
